x,y,z,groundZ,timestamp,obstacle
1.65,0.07,3.01,0.16,2026-05-10T07:00:00Z,false
3.31,0.13,3.01,0.16,2026-05-10T07:00:02Z,false
4.97,0.19,3.01,0.16,2026-05-10T07:00:04Z,false
6.64,0.26,3.01,0.17,2026-05-10T07:00:06Z,false
8.32,0.32,3.02,0.17,2026-05-10T07:00:08Z,false
10.00,0.37,3.02,0.17,2026-05-10T07:00:10Z,false
11.69,0.43,3.02,0.17,2026-05-10T07:00:12Z,false
13.38,0.48,3.02,0.17,2026-05-10T07:00:14Z,false
15.08,0.53,3.03,0.18,2026-05-10T07:00:16Z,false
16.78,0.57,3.03,0.18,2026-05-10T07:00:18Z,false
18.49,0.61,3.03,0.18,2026-05-10T07:00:20Z,false
20.20,0.64,3.03,0.18,2026-05-10T07:00:22Z,false
21.91,0.67,3.04,0.18,2026-05-10T07:00:24Z,false
23.62,0.69,3.04,0.18,2026-05-10T07:00:26Z,false
25.33,0.71,3.04,0.19,2026-05-10T07:00:28Z,false
27.04,0.72,3.04,0.19,2026-05-10T07:00:30Z,false
28.75,0.73,3.04,0.19,2026-05-10T07:00:32Z,false
30.46,0.73,3.05,0.19,2026-05-10T07:00:34Z,false
32.16,0.72,3.05,0.19,2026-05-10T07:00:36Z,false
33.86,0.71,3.05,0.19,2026-05-10T07:00:38Z,false
35.56,0.70,3.05,0.20,2026-05-10T07:00:40Z,false
37.26,0.68,3.05,0.20,2026-05-10T07:00:42Z,false
38.95,0.66,3.05,0.20,2026-05-10T07:00:44Z,false
40.63,0.63,3.06,0.20,2026-05-10T07:00:46Z,false
42.31,0.60,3.06,0.20,2026-05-10T07:00:48Z,false
43.99,0.57,3.06,0.20,2026-05-10T07:00:50Z,false
45.66,0.53,3.06,0.20,2026-05-10T07:00:52Z,false
47.32,0.50,3.06,0.21,2026-05-10T07:00:54Z,false
48.98,0.46,3.06,0.21,2026-05-10T07:00:56Z,false
50.63,0.42,3.07,0.21,2026-05-10T07:00:58Z,false
52.28,0.38,3.07,0.21,2026-05-10T07:01:00Z,false
53.93,0.34,3.07,0.21,2026-05-10T07:01:02Z,false
55.57,0.30,3.07,0.21,2026-05-10T07:01:04Z,false
57.21,0.27,3.07,0.21,2026-05-10T07:01:06Z,false
58.84,0.23,3.07,0.21,2026-05-10T07:01:08Z,false
60.47,0.20,3.07,0.21,2026-05-10T07:01:10Z,false
62.10,0.17,3.07,0.22,2026-05-10T07:01:12Z,false
63.73,0.15,3.07,0.22,2026-05-10T07:01:14Z,false
65.36,0.12,3.08,0.22,2026-05-10T07:01:16Z,false
66.99,0.10,3.08,0.22,2026-05-10T07:01:18Z,false
68.61,0.09,3.08,0.22,2026-05-10T07:01:20Z,false
70.24,0.08,3.08,0.22,2026-05-10T07:01:22Z,false
71.87,0.07,3.08,0.22,2026-05-10T07:01:24Z,false
73.51,0.07,3.08,0.22,2026-05-10T07:01:26Z,false
75.14,0.07,3.08,0.22,2026-05-10T07:01:28Z,false
76.78,0.07,3.08,0.22,2026-05-10T07:01:30Z,false
78.43,0.08,3.08,0.22,2026-05-10T07:01:32Z,false
80.08,0.10,3.08,0.22,2026-05-10T07:01:34Z,false
81.73,0.11,3.08,0.22,2026-05-10T07:01:36Z,false
83.38,0.13,3.08,0.23,2026-05-10T07:01:38Z,false
85.04,0.15,3.08,0.23,2026-05-10T07:01:40Z,false
86.71,0.18,3.08,0.23,2026-05-10T07:01:42Z,false
88.38,0.20,3.08,0.23,2026-05-10T07:01:44Z,false
90.05,0.23,3.09,0.23,2026-05-10T07:01:46Z,false
91.73,0.26,3.09,0.23,2026-05-10T07:01:48Z,false
93.41,0.29,3.09,0.23,2026-05-10T07:01:50Z,false
95.10,0.32,3.09,0.23,2026-05-10T07:01:52Z,false
96.78,0.35,3.09,0.23,2026-05-10T07:01:54Z,false
98.47,0.38,3.09,0.23,2026-05-10T07:01:56Z,false
100.16,0.41,3.09,0.23,2026-05-10T07:01:58Z,false
101.86,0.43,3.09,0.23,2026-05-10T07:02:00Z,false
103.55,0.45,3.09,0.23,2026-05-10T07:02:02Z,false
105.24,0.47,3.09,0.23,2026-05-10T07:02:04Z,false
106.93,0.49,3.09,0.23,2026-05-10T07:02:06Z,false
108.62,0.50,3.09,0.23,2026-05-10T07:02:08Z,false
110.31,0.51,3.09,0.23,2026-05-10T07:02:10Z,false
111.99,0.51,3.09,0.23,2026-05-10T07:02:12Z,false
113.67,0.51,3.09,0.23,2026-05-10T07:02:14Z,false
115.34,0.50,3.09,0.23,2026-05-10T07:02:16Z,false
117.01,0.49,3.09,0.23,2026-05-10T07:02:18Z,false
118.68,0.47,3.09,0.23,2026-05-10T07:02:20Z,false
120.34,0.45,3.09,0.23,2026-05-10T07:02:22Z,false
121.99,0.42,3.09,0.23,2026-05-10T07:02:24Z,false
123.64,0.39,3.08,0.23,2026-05-10T07:02:26Z,false
125.28,0.36,3.08,0.23,2026-05-10T07:02:28Z,false
126.91,0.32,3.08,0.23,2026-05-10T07:02:30Z,false
128.54,0.27,3.08,0.23,2026-05-10T07:02:32Z,false
130.16,0.22,3.08,0.23,2026-05-10T07:02:34Z,false
131.78,0.17,3.08,0.23,2026-05-10T07:02:36Z,false
133.39,0.12,3.08,0.23,2026-05-10T07:02:38Z,false
134.99,0.06,3.08,0.23,2026-05-10T07:02:40Z,false
136.59,-0.00,3.08,0.23,2026-05-10T07:02:42Z,false
138.18,-0.06,3.08,0.23,2026-05-10T07:02:44Z,false
139.77,-0.12,3.08,0.23,2026-05-10T07:02:46Z,false
141.36,-0.19,3.08,0.23,2026-05-10T07:02:48Z,false
142.94,-0.25,3.08,0.23,2026-05-10T07:02:50Z,false
144.53,-0.31,3.08,0.23,2026-05-10T07:02:52Z,false
146.11,-0.37,3.08,0.23,2026-05-10T07:02:54Z,false
147.69,-0.43,3.08,0.23,2026-05-10T07:02:56Z,false
